,tier,s1,s2,text,match_melodia,match_melodia_mix,match_ftanet,match_ftanet_mix,match_melodia_spleeter,match_melodia_spleeter_mix,group_num_melodia,group_num_melodia_mix,group_num_ftanet,group_num_ftanet_mix,group_num_melodia_spleeter,group_num_melodia_spleeter_mix,occ_num_melodia,occ_num_melodia_mix,occ_num_ftanet,occ_num_ftanet_mix,occ_num_melodia_spleeter,occ_num_melodia_spleeter_mix
101,underlying_full_phrase,135.55100000000002,141.207,sgrgmmgmmnnssss,no match,no match,no match,match,no match,no match,,,,42.0,,,,,,3.0,,
102,underlying_full_phrase,141.295,147.865,nrsnsndmgmpmgrgmgmn,match,no match,match,match,match,no match,39.0,,47.0,51.0,41.0,,1.0,,0.0,1.0,2.0,
103,underlying_full_phrase,147.903,152.314,nnsndmmmgmpgpmgrs,match,match,match,match,match,no match,20.0,15.0,17.0,38.0,21.0,,1.0,13.0,3.0,2.0,3.0,
104,underlying_full_phrase,152.56799999999998,155.442,sssnnpn,match,no match,match,match,match,no match,1.0,,3.0,4.0,1.0,,1.0,,1.0,2.0,1.0,
105,underlying_full_phrase,177.981,184.771,nnnnnnsndmgmnns,no match,no match,no match,no match,no match,no match,,,,,,,,,,,,
106,underlying_full_phrase,185.08900000000003,189.50400000000002,sssndmnnsns,match,match,match,match,no match,match,26.0,10.0,23.0,29.0,,8.0,1.0,7.0,1.0,0.0,,4.0
107,underlying_full_phrase,196.985,203.72799999999998,nnnnnnsndmgmnns,no match,no match,match,no match,no match,no match,,,40.0,,,,,,2.0,,,
108,underlying_full_phrase,203.857,207.628,sssndmnnsns,match,no match,match,match,match,no match,25.0,,21.0,26.0,25.0,,3.0,,1.0,1.0,0.0,
109,underlying_full_phrase,207.722,214.442,nnnnnnsndmgmnns,no match,match,match,match,no match,match,,19.0,46.0,47.0,,19.0,,5.0,0.0,0.0,,5.0
110,underlying_full_phrase,214.87099999999998,218.86599999999999,sssndmnnsns,match,no match,match,match,match,no match,25.0,,21.0,26.0,25.0,,1.0,,0.0,0.0,1.0,
111,underlying_full_phrase,218.86599999999999,225.622,nnnnnnsndmgmnns,match,no match,match,no match,no match,match,47.0,,46.0,,,19.0,1.0,,1.0,,,4.0
112,underlying_full_phrase,230.055,235.345,grsssnrsnndmgmn,match,no match,match,match,match,no match,33.0,,33.0,44.0,38.0,,1.0,,2.0,3.0,4.0,
113,underlying_full_phrase,235.518,240.377,ssnsrsndmmgmpmggrs,match,match,match,match,match,match,34.0,15.0,31.0,41.0,36.0,12.0,2.0,19.0,1.0,2.0,2.0,7.0
114,underlying_full_phrase,240.921,246.09900000000002,grsssnrsnndmgmn,match,no match,match,match,match,no match,33.0,,33.0,44.0,38.0,,2.0,,0.0,1.0,3.0,
